context,question,answer
"Three of the women claimed he had grabbed their breasts, a fourth said he placed his hand under her skirt on her buttock. A fifth woman claimed Schwarzenegger tried to take off her bathing suit in a hotel elevator, and the last said he pulled her onto his lap and asked her about a sex act.",One woman accused Schwarzenegger of trying to remove what item of clothing?,bathing suit
"Sony renamed the record company Sony Music Entertainment (SME) on January 1, 1991, fulfilling the terms set under the 1988 buyout, which granted only a transitional license to the CBS trademark. The CBS Associated label was renamed Epic Associated. Also on January 1, 1991, to replace the CBS label, Sony reintroduced the Columbia label worldwide, which it previously held in the United States and Canada only, after it acquired the international rights to the trademark from EMI in 1990. Japan is the only country where Sony does not have rights to the Columbia name as it is controlled by Nippon Columbia, an unrelated company. Thus, until this day, Sony Music Entertainment Japan does not use the Columbia trademark for Columbia label recordings from outside Japan which are issued in Japan. The Columbia Records trademark's rightsholder in Spain was Bertelsmann Music Group, Germany, which Sony Music subsequently subsumed via a 2004 merger, followed by a 2008 buyout.",In what year did the name Sony Music Entertainment become the new name of Sony's record label?,1991
"At the start of the war, no French regular army troops were stationed in North America, and few British troops. New France was defended by about 3,000 troupes de la marine, companies of colonial regulars (some of whom had significant woodland combat experience). The colonial government recruited militia support when needed. Most British colonies mustered local militia companies, generally ill trained and available only for short periods, to deal with native threats, but did not have any standing forces.",What was Frensh military presence at start of war?,"no French regular army troops were stationed in North America; no French regular army troops were stationed in North America; no French regular army troops were stationed in North America,; no French regular army; no French regular army troops were stationed in North America"
"The National Museum is located in the western part of Kathmandu, near the Swayambhunath stupa in an historical building. This building was constructed in the early 19th century by General Bhimsen Thapa. It is the most important museum in the country, housing an extensive collection of weapons, art and antiquities of historic and cultural importance. The museum was established in 1928 as a collection house of war trophies and weapons, and the initial name of this museum was Chhauni Silkhana, meaning ""the stone house of arms and ammunition"". Given its focus, the museum contains many weapons, including locally made firearms used in wars, leather cannons from the 18th–19th century, and medieval and modern works in wood, bronze, stone and paintings.",In what area of Kathmandu is the National Museum?,western
"In 1238, King James I of Aragon, with an army composed of Aragonese, Catalans, Navarrese and crusaders from the Order of Calatrava, laid siege to Valencia and on 28 September obtained a surrender. Fifty thousand Moors were forced to leave. Poets such as Ibn al-Abbar and Ibn Amira mourned this exile from their beloved Valencia. After the Christian victory and the expulsion of the Muslim population the city was divided between those who had participated in the conquest, according to the testimony in the Llibre del Repartiment (Book of Distribution). James I granted the city new charters of law, the Furs of Valencia, which later were extended to the whole kingdom of Valencia. Thenceforth the city entered a new historical stage in which a new society and a new language developed, forming the basis of the character of the Valencian people as they are known today.",What ruler attacked Valencia in 1238?,King James I of Aragon
"Until the 16th century, the Low Countries – corresponding roughly to the present-day Netherlands, Belgium, and Luxembourg – consisted of a number of duchies, counties, and Prince-bishoprics, almost all of which were under the supremacy of the Holy Roman Empire, with the exception of the county of Flanders, which was under the Kingdom of France.",The Low Countries were made up of which present day countries?,"Netherlands, Belgium, and Luxembourg"
"Feynman diagrams are now fundamental for string theory and M-theory, and have even been extended topologically. The world-lines of the diagrams have developed to become tubes to allow better modeling of more complicated objects such as strings and membranes. Shortly before his death, Feynman criticized string theory in an interview: ""I don't like that they're not calculating anything,"" he said. ""I don't like that they don't check their ideas. I don't like that for anything that disagrees with an experiment, they cook up an explanation—a fix-up to say, 'Well, it still might be true.'"" These words have since been much-quoted by opponents of the string-theoretic direction for particle physics.",What theories do Feynman diagrams help explain?,string theory and M-theory
"East 5th Street goes west to Cooper Square, but is interrupted between Avenues B and C by The Earth School, Public School 364, and between First Avenue and Avenue A by the Village View Apartments.",Which Apartments interrupt East 5th Street between First Avenue and Avenue A?,Village View
"As well as creating rights for ""workers"" who generally lack bargaining power in the market, the Treaty on the Functioning of the European Union also protects the ""freedom of establishment"" in article 49, and ""freedom to provide services"" in article 56. In Gebhard v Consiglio dell’Ordine degli Avvocati e Procuratori di Milano the Court of Justice held that to be ""established"" means to participate in economic life ""on a stable and continuous basis"", while providing ""services"" meant pursuing activity more ""on a temporary basis"". This meant that a lawyer from Stuttgart, who had set up chambers in Milan and was censured by the Milan Bar Council for not having registered, was entitled to bring a claim under for establishment freedom, rather than service freedom. However, the requirements to be registered in Milan before being able to practice would be allowed if they were non-discriminatory, ""justified by imperative requirements in the general interest"" and proportionately applied. All people or entities that engage in economic activity, particularly the self-employed, or ""undertakings"" such as companies or firms, have a right to set up an enterprise without unjustified restrictions. The Court of Justice has held that both a member state government and a private party can hinder freedom of establishment, so article 49 has both ""vertical"" and ""horizontal"" direct effect. In Reyners v Belgium the Court of Justice held that a refusal to admit a lawyer to the Belgian bar because he lacked Belgian nationality was unjustified. TFEU article 49 says states are exempt from infringing others' freedom of establishment when they exercise ""official authority"", but this did an advocate's work (as opposed to a court's) was not official. By contrast in Commission v Italy the Court of Justice held that a requirement for lawyers in Italy to comply with maximum tariffs unless there was an agreement with a client was not a restriction. The Grand Chamber of the Court of Justice held the Commission had not proven that this had any object or effect of limiting practitioners from entering the market. Therefore, there was no prima facie infringement freedom of establishment that needed to be justified.",Which Treaty protects the freedom of establishment and the freedom to provide services?,the Treaty on the Functioning of the European Union; the Treaty on the Functioning of the European Union; the Treaty on the Functioning of the European Union
"However, although almost any scenario where one wrestler is covering another prone, back-first wrestler can be considered a pin attempt, there is one important exception to that rule: Pin attempts broken up by other wrestlers. In matches involving multiple wrestlers (such as triple threat matches or tag team matches), wrestlers who see a pin attempt that, if successful, would result in them losing the match are expected to run in and break the pin attempt by performing some sort of offensive maneuver on the wrestler attempting the pin. The most common attacks for breaking pins are a stomp to the back and an elbow to the back of the head, as they are simple to pull off in the spur of the moment. However, these moves, simple as they are, still leave the pinning wrestler on top of the pinned wrestler. Despite the pinning wrestler still technically being on top of the pinned wrestler, the referee will still consider the pin attempt to be broken.",What happens during a pin attempt?,"one wrestler is covering another prone, back-first wrestler can be considered a pin attempt"
"Bushi interests were diverse, cutting across old power structures to form new associations in the tenth century. Mutual interests, family connections, and kinship were consolidated in military groups that became part of family administration. In time, large regional military families formed around members of the court aristocracy who had become prominent provincial figures. These military families gained prestige from connections to the imperial court and court-granted military titles and access to manpower. The Fujiwara family, Taira clan, and Minamoto clan were among the most prominent families supported by the new military class.",Bushi formed new associations in what century?,tenth
"Democratic Party candidates were consistently elected to local office, increasing the city's ties to the South and its dominant party. In 1861, Mayor Fernando Wood called on the aldermen to declare independence from Albany and the United States after the South seceded, but his proposal was not acted on. Anger at new military conscription laws during the American Civil War (1861–1865), which spared wealthier men who could afford to pay a $300 (equivalent to $5,766 in 2016) commutation fee to hire a substitute, led to the Draft Riots of 1863, whose most visible participants were ethnic Irish working class. The situation deteriorated into attacks on New York's elite, followed by attacks on black New Yorkers and their property after fierce competition for a decade between Irish immigrants and blacks for work. Rioters burned the Colored Orphan Asylum to the ground, but more than 200 children escaped harm due to efforts of the New York City Police Department, which was mainly made up of Irish immigrants. According to historian James M. McPherson (2001), at least 120 people were killed. In all, eleven black men were lynched over five days, and the riots forced hundreds of blacks to flee the city for Williamsburg, Brooklyn, as well as New Jersey; the black population in Manhattan fell below 10,000 by 1865, which it had last been in 1820. The white working class had established dominance. Violence by longshoremen against black men was especially fierce in the docks area. It was one of the worst incidents of civil unrest in American history.",Who was the mayor of New York City in 1861? ,Fernando Wood
"Before the attack on Pearl Harbor, the 800,000-member America First Committee vehemently opposed any American intervention in the European conflict, even as America sold military aid to Britain and the Soviet Union through the Lend-Lease program. Opposition to war in the U.S. vanished after the attack. On 8 December, the United States, the United Kingdom, Canada, and the Netherlands declared war on Japan, followed by China and Australia the next day. Four days after Pearl Harbor, Nazi Germany and Fascist Italy declared war on the United States, drawing the country into a two-theater war. This is widely agreed to be a grand strategic blunder, as it abrogated the benefit Germany gained by Japan's distraction of the U.S. (predicted months before in a memo by Commander Arthur McCollum)[nb 12] and the reduction in aid to Britain, which both Congress and Hitler had managed to avoid during over a year of mutual provocation, which would otherwise have resulted.",What program allowed America to sell military supplies to Britain and the Soviet Union?,Lend-Lease
"The end of the war, however, was to cause profound change in Bermuda, though some of those changes would take decades to crystallise. Following the war, with the buildup of Naval and military forces in Bermuda, the primary leg of the Bermudian economy became defence infrastructure. Even after tourism began later in the 19th century, Bermuda remained, in the eyes of London, a base more than a colony. The Crown strengthened its political and economic ties to Bermuda, and the colony's independence on the world stage was diminished.",What event caused major changes in Bermuda?,end of the war
"Prior to the 2011–2012 season, Barcelona had a long history of avoiding corporate sponsorship on the playing shirts. On 14 July 2006, the club announced a five-year agreement with UNICEF, which includes having the UNICEF logo on their shirts. The agreement had the club donate €1.5 million per year to UNICEF (0.7 percent of its ordinary income, equal to the UN International Aid Target, cf. ODA) via the FC Barcelona Foundation. The FC Barcelona Foundation is an entity set up in 1994 on the suggestion of then-chairman of the Economical-Statutory Committee, Jaime Gil-Aluja. The idea was to set up a foundation that could attract financial sponsorships to support a non-profit sport company. In 2004, a company could become one of 25 ""Honorary members"" by contributing between £40,000–60,000 (£54,800–82,300) per year. There are also 48 associate memberships available for an annual fee of £14,000 (£19,200) and an unlimited number of ""patronages"" for the cost of £4,000 per year (£5,500). It is unclear whether the honorary members have any formal say in club policy, but according to the author Anthony King, it is ""unlikely that Honorary Membership would not involve at least some informal influence over the club"".",What corporate sponsorship did Barcelona agree to in 2006? ,UNICEF
"Government phonology, which originated in the early 1980s as an attempt to unify theoretical notions of syntactic and phonological structures, is based on the notion that all languages necessarily follow a small set of principles and vary according to their selection of certain binary parameters. That is, all languages' phonological structures are essentially the same, but there is restricted variation that accounts for differences in surface realizations. Principles are held to be inviolable, though parameters may sometimes come into conflict. Prominent figures in this field include Jonathan Kaye, Jean Lowenstamm, Jean-Roger Vergnaud, Monik Charette, and John Harris.",When was Government phonology first seen?,the early 1980s
"In 2010, Executive Order 13526 created the National Declassification Center to coordinate declassification practices across agencies, provide secure document services to other agencies, and review records in NARA custody for declassification.",What year was Executive Order 13526 created?,2010
"At the age of 21 he settled in Paris. Thereafter, during the last 18 years of his life, he gave only some 30 public performances, preferring the more intimate atmosphere of the salon. He supported himself by selling his compositions and teaching piano, for which he was in high demand. Chopin formed a friendship with Franz Liszt and was admired by many of his musical contemporaries, including Robert Schumann. In 1835 he obtained French citizenship. After a failed engagement to Maria Wodzińska, from 1837 to 1847 he maintained an often troubled relationship with the French writer George Sand. A brief and unhappy visit to Majorca with Sand in 1838–39 was one of his most productive periods of composition. In his last years, he was financially supported by his admirer Jane Stirling, who also arranged for him to visit Scotland in 1848. Through most of his life, Chopin suffered from poor health. He died in Paris in 1849, probably of tuberculosis.",At what age did Frédéric move to Paris?,21
"The freedom to form, declare membership in, or campaign for candidates from a political party is considered a measurement of a state's adherence to liberal democracy as a political value. Regulation of parties may run from a crackdown on or repression of all opposition parties, a norm for authoritarian governments, to the repression of certain parties which hold or promote ideals which run counter to the general ideology of the state's incumbents (or possess membership by-laws which are legally unenforceable).",What is considered a measurement of a state's support to liberal democracy?,"The freedom to form, declare membership in, or campaign for"
"Although the Estonian orthography is generally guided by phonemic principles, with each grapheme corresponding to one phoneme, there are some historical and morphological deviations from this: for example preservation of the morpheme in declension of the word (writing b, g, d in places where p, k, t is pronounced) and in the use of 'i' and 'j'.[clarification needed] Where it is very impractical or impossible to type š and ž, they are substituted with sh and zh in some written texts, although this is considered incorrect. Otherwise, the h in sh represents a voiceless glottal fricative, as in Pasha (pas-ha); this also applies to some foreign names.",What principles usually govern the Estonian orthography?,phonemic principles
"Some countries were not included for various reasons, such as being a non-UN member or unable or unwilling to provide the necessary data at the time of publication. Besides the states with limited recognition, the following states were also not included.",What three reasons were mentioned for countries being excluded?,being a non-UN member or unable or unwilling to provide the necessary data at the time of publication
"The Xiongnu, a nomadic steppe confederation, defeated the Han in 200 BC and forced the Han to submit as a de facto inferior partner, but continued their raids on the Han borders. Emperor Wu of Han (r. 141–87 BC) launched several military campaigns against them. The ultimate Han victory in these wars eventually forced the Xiongnu to accept vassal status as Han tributaries. These campaigns expanded Han sovereignty into the Tarim Basin of Central Asia, divided the Xiongnu into two separate confederations, and helped establish the vast trade network known as the Silk Road, which reached as far as the Mediterranean world. The territories north of Han's borders were quickly overrun by the nomadic Xianbei confederation. Emperor Wu also launched successful military expeditions in the south, annexing Nanyue in 111 BC and Dian in 109 BC, and in the Korean Peninsula where the Xuantu and Lelang Commanderies were established in 108 BC.",Which confederation defeated the Han in 200 BC?,The Xiongnu
"As of 2010[update], the city of Montevideo has been divided into 8 political municipalities (Municipios), referred to with the letters from A to G, including CH, each presided over by a mayor elected by the citizens registered in the constituency. This division, according to the Municipality of Montevideo, ""aims to advance political and administrative decentralization in the department of Montevideo, with the aim of deepening the democratic participation of citizens in governance."" The head of each Municipio is called an alcalde or (if female) alcaldesa.",How many political municipalities has the city of Montevideo been divided into as of 2010?,8
"Machine vision systems often require bright and homogeneous illumination, so features of interest are easier to process. LEDs are often used for this purpose, and this is likely to remain one of their major uses until the price drops low enough to make signaling and illumination uses more widespread. Barcode scanners are the most common example of machine vision, and many low cost products use red LEDs instead of lasers. Optical computer mice are an example of LEDs in machine vision, as it is used to provide an even light source on the surface for the miniature camera within the mouse. LEDs constitute a nearly ideal light source for machine vision systems for several reasons:",LEDs are often used for what type of systems?,Machine vision
"In 1906, the franchise recorded a Major League record 116 wins (tied by the 2001 Seattle Mariners) and posted a modern-era record winning percentage of .763, which still stands today. They appeared in their first World Series the same year, falling to their crosstown rivals, the Chicago White Sox, four games to two. The Cubs won back-to-back World Series championships in 1907 and 1908, becoming the first Major League team to play in three consecutive Fall Classics, and the first to win it twice. The team has appeared in seven World Series following their 1908 title, most recently in 1945. The Cubs have not won the World Series in 107 years, the longest championship drought of any major North American professional sports team, and are often referred to as the ""Lovable Losers"" because of this distinction. They are also known as ""The North Siders"" because Wrigley Field, their home park since 1916, is located in Chicago's North Side Lake View community at 1060 West Addison Street. The Cubs have a major rivalry with the St. Louis Cardinals.",What year did the cubs record a Major League record of 116 wins?,1906
"Child labour has been a consistent struggle for children in Brazil ever since the country was colonized on April 22, 1550 by Pedro Álvares Cabral. Work that many children took part in was not always visible, legal, or paid. Free or slave labour was a common occurrence for many youths and was a part of their everyday lives as they grew into adulthood. Yet due to there being no clear definition of how to classify what a child or youth is, there has been little historical documentation of child labour during the colonial period. Due to this lack of documentation, it is hard to determine just how many children were used for what kinds of work before the nineteenth century. The first documentation of child labour in Brazil occurred during the time of indigenous societies and slave labour where it was found that children were forcibly working on tasks that exceeded their emotional and physical limits. Armando Dias, for example, died in November 1913 whilst still very young, a victim of an electric shock when entering the textile industry where he worked. Boys and girls were victims of industrial accidents on a daily basis.",When was Brazil colonized?,"April 22, 1550"
"Wood unsuitable for construction in its native form may be broken down mechanically (into fibers or chips) or chemically (into cellulose) and used as a raw material for other building materials, such as engineered wood, as well as chipboard, hardboard, and medium-density fiberboard (MDF). Such wood derivatives are widely used: wood fibers are an important component of most paper, and cellulose is used as a component of some synthetic materials. Wood derivatives can also be used for kinds of flooring, for example laminate flooring.",What material results from chemically breaking down wood?,cellulose
"The same happens with Arabic loanwords. Thus, Catalan alfàbia ""large earthenware jar"" and rajola ""tile"", of Arabic origin, contrast with Spanish tinaja and teja, of Latin origin; whereas Catalan oli ""oil"" and oliva ""olive"", of Latin origin, contrast with Spanish aceite and aceituna. However, the Arabic element in Spanish is generally much more prevalent.",What element in Spanish is more prominent than in Catalan?,Arabic element
"There was a special case established under the State Management Scheme where the brewery and licensed premises were bought and run by the state until 1973, most notably in Carlisle. During the 20th century elsewhere, both the licensing laws and enforcement were progressively relaxed, and there were differences between parishes; in the 1960s, at closing time in Kensington at 10:30 pm, drinkers would rush over the parish boundary to be in good time for ""Last Orders"" in Knightsbridge before 11 pm, a practice observed in many pubs adjoining licensing area boundaries. Some Scottish and Welsh parishes remained officially ""dry"" on Sundays (although often this merely required knocking at the back door of the pub). These restricted opening hours led to the tradition of lock-ins.",What was the mandated closing time of pubs in Kensington in the 1960s?,10:30 pm
"Pumped-storage hydroelectricity stores energy in the form of water pumped when energy is available from a lower elevation reservoir to a higher elevation one. The energy is recovered when demand is high by releasing the water, with the pump becoming a hydroelectric power generator.","When water is released due to high demand, the pump become swhat?",a hydroelectric power generator
"Changes also took place among laymen, as aristocratic culture focused on great feasts held in halls rather than on literary pursuits. Clothing for the elites was richly embellished with jewels and gold. Lords and kings supported entourages of fighters who formed the backbone of the military forces.[I] Family ties within the elites were important, as were the virtues of loyalty, courage, and honour. These ties led to the prevalence of the feud in aristocratic society, examples of which included those related by Gregory of Tours that took place in Merovingian Gaul. Most feuds seem to have ended quickly with the payment of some sort of compensation. Women took part in aristocratic society mainly in their roles as wives and mothers of men, with the role of mother of a ruler being especially prominent in Merovingian Gaul. In Anglo-Saxon society the lack of many child rulers meant a lesser role for women as queen mothers, but this was compensated for by the increased role played by abbesses of monasteries. Only in Italy does it appear that women were always considered under the protection and control of a male relative.",What was the focus of aristocratic culture during this period?,great feasts
"The Catholic Church prevailed across Europe at this time, influencing not only faith but also wealth and power. Bishops were appointed by the feudal lords (kings, dukes and other landowners) and they often ruled as virtual princes over large estates. The early Medieval periods had seen a rapid growth in monasticism, with several different orders being prevalent and spreading their influence widely. Foremost were the Benedictines whose great abbey churches vastly outnumbered any others in France and England. A part of their influence was that towns developed around them and they became centers of culture, learning and commerce. The Cluniac and Cistercian Orders were prevalent in France, the great monastery at Cluny having established a formula for a well planned monastic site which was then to influence all subsequent monastic building for many centuries.",What church was widespread across Europe at this time?,The Catholic Church
"Pesticides are often referred to according to the type of pest they control. Pesticides can also be considered as either biodegradable pesticides, which will be broken down by microbes and other living beings into harmless compounds, or persistent pesticides, which may take months or years before they are broken down: it was the persistence of DDT, for example, which led to its accumulation in the food chain and its killing of birds of prey at the top of the food chain. Another way to think about pesticides is to consider those that are chemical pesticides or are derived from a common source or production method.",What is one type of pesticide?,biodegradable
"Logging was Seattle's first major industry, but by the late 19th century the city had become a commercial and shipbuilding center as a gateway to Alaska during the Klondike Gold Rush. By 1910, Seattle was one of the 25 largest cities in the country. However, the Great Depression severely damaged the city's economy. Growth returned during and after World War II, due partially to the local Boeing company, which established Seattle as a center for aircraft manufacturing. The Seattle area developed as a technology center beginning in the 1980s, with companies like Microsoft becoming established in the region. In 1994 the Internet retail giant Amazon was founded in Seattle. The stream of new software, biotechnology, and Internet companies led to an economic revival, which increased the city's population by almost 50,000 between 1990 and 2000.",To what golden event was Seattle the portal?,Klondike Gold Rush
"The first known European explorer to reach Bermuda was Spanish sea captain Juan de Bermúdez in 1503, after whom the islands are named. He claimed the apparently uninhabited islands for the Spanish Empire. Paying two visits to the archipelago, Bermúdez never landed on the islands, but did create a recognisable map of the archipelago. Shipwrecked Portuguese mariners are now thought to have been responsible for the 1543 inscription in Portuguese Rock (previously called Spanish Rock). Subsequent Spanish or other European parties are believed to have released pigs there, which had become feral and abundant on the island by the time European settlement began. In 1609, the English Virginia Company, which had established Jamestown in Virginia (a term originally applied to all of the North American continent) two years earlier, permanently settled Bermuda in the aftermath of a hurricane, when the crew and passengers of the Sea Venture steered the ship onto the surrounding reef to prevent its sinking, then landed ashore.",The first known European explorer to reach Bermuda was of what nationality?,Spanish
"On September 11, 2008, West and his road manager/bodyguard Don ""Don C."" Crowley were arrested at Los Angeles International Airport and booked on charges of felony vandalism after an altercation with the paparazzi in which West and Crowley broke the photographers' cameras. West was later released from the Los Angeles Police Department's Pacific Division station in Culver City on $20,000 bail bond. On September 26, 2008, the Los Angeles County District Attorney's Office said it would not file felony counts against West over the incident. Instead the case file was forwarded to the city attorney's office, which charged West with one count of misdemeanor vandalism, one count of grand theft and one count of battery and his manager with three counts of each on March 18, 2009. West's and Crowley's arraignment was delayed from an original date of April 14, 2009.",What was Kanye arrested for in 2008?,felony vandalism
"Scientists have been studying the impact of climate change and water use. For example, each year more water is diverted from rivers for snowmaking in the ski resorts, the effect of which is yet unknown. Furthermore, the decrease of glaciated areas combined with a succession of winters with lower-than-expected precipitation may have a future impact on the rivers in the Alps as well as an effect on the water availability to the lowlands.",Who have been studying the impact of climate change and water use?,Scientists
"Intense media interest in the opinions and private lives of the royal family during the 1980s led to a series of sensational stories in the press, not all of which were entirely true. As Kelvin MacKenzie, editor of The Sun, told his staff: ""Give me a Sunday for Monday splash on the Royals. Don't worry if it's not true—so long as there's not too much of a fuss about it afterwards."" Newspaper editor Donald Trelford wrote in The Observer of 21 September 1986: ""The royal soap opera has now reached such a pitch of public interest that the boundary between fact and fiction has been lost sight of ... it is not just that some papers don't check their facts or accept denials: they don't care if the stories are true or not."" It was reported, most notably in The Sunday Times of 20 July 1986, that the Queen was worried that Margaret Thatcher's economic policies fostered social divisions and was alarmed by high unemployment, a series of riots, the violence of a miners' strike, and Thatcher's refusal to apply sanctions against the apartheid regime in South Africa. The sources of the rumours included royal aide Michael Shea and Commonwealth Secretary-General Shridath Ramphal, but Shea claimed his remarks were taken out of context and embellished by speculation. Thatcher reputedly said the Queen would vote for the Social Democratic Party—Thatcher's political opponents. Thatcher's biographer John Campbell claimed ""the report was a piece of journalistic mischief-making"". Belying reports of acrimony between them, Thatcher later conveyed her personal admiration for the Queen, and the Queen gave two honours in her personal gift—membership in the Order of Merit and the Order of the Garter—to Thatcher after her replacement as prime minister by John Major. Former Canadian Prime Minister Brian Mulroney said Elizabeth was a ""behind the scenes force"" in ending apartheid.",What did high public interest in the  private lives of the royal family cause in the press?,sensational stories
"An antenna transmits and receives radio waves with a particular polarization which can be reoriented by tilting the axis of the antenna in many (but not all) cases. The physical size of an antenna is often a practical issue, particularly at lower frequencies (longer wavelengths). Highly directional antennas need to be significantly larger than the wavelength. Resonant antennas usually use a linear conductor (or element), or pair of such elements, each of which is about a quarter of the wavelength in length (an odd multiple of quarter wavelengths will also be resonant). Antennas that are required to be small compared to the wavelength sacrifice efficiency and cannot be very directional. Fortunately at higher frequencies (UHF, microwaves) trading off performance to obtain a smaller physical size is usually not required.",What is the essential difference in radio waves transmitted by an antenna?,polarization
"A modern example of school discipline in North America and Western Europe relies upon the idea of an assertive teacher who is prepared to impose their will upon a class. Positive reinforcement is balanced with immediate and fair punishment for misbehavior and firm, clear boundaries define what is appropriate and inappropriate behavior. Teachers are expected to respect their students; sarcasm and attempts to humiliate pupils are seen as falling outside of what constitutes reasonable discipline.[verification needed]",What type of teacher is required in the Western Europe model of discipline?,assertive; assertive; assertive
"According to Greek law, every Sunday of the year is a public holiday. In addition, there are four mandatory official public holidays: 25 March (Greek Independence Day), Easter Monday, 15 August (Assumption or Dormition of the Holy Virgin), and 25 December (Christmas). 1 May (Labour Day) and 28 October (Ohi Day) are regulated by law as being optional but it is customary for employees to be given the day off. There are, however, more public holidays celebrated in Greece than are announced by the Ministry of Labour each year as either obligatory or optional. The list of these non-fixed national holidays rarely changes and has not changed in recent decades, giving a total of eleven national holidays each year.",Greek law says that every Sunday of the year is a what?,holiday
"Large scale climatic changes, as have been experienced in the past, are expected to have an effect on the timing of migration. Studies have shown a variety of effects including timing changes in migration, breeding as well as population variations.",What is expected to have an effect on migration timing?,climatic changes
"After World War II, Europe was informally split into Western and Soviet spheres of influence. Western Europe later aligned as the North Atlantic Treaty Organization (NATO) and Eastern Europe as the Warsaw Pact. There was a shift in power from Western Europe and the British Empire to the two new superpowers, the United States and the Soviet Union. These two rivals would later face off in the Cold War. In Asia, the defeat of Japan led to its democratization. China's civil war continued through and after the war, resulting eventually in the establishment of the People's Republic of China. The former colonies of the European powers began their road to independence.",What was Europe split into after World War II?,Western and Soviet spheres of influence.
"The Liberal Party's organisation is dominated by the six state divisions, reflecting the party's original commitment to a federalised system of government (a commitment which was strongly maintained by all Liberal governments until 1983, but was to a large extent abandoned by the Howard Government, which showed strong centralising tendencies). Menzies deliberately created a weak national party machine and strong state divisions. Party policy is made almost entirely by the parliamentary parties, not by the party's rank-and-file members, although Liberal party members do have a degree of influence over party policy.",How many state divisions exist in the Liberal Party's organisation?,six
"There are various mechanisms by which teacher enthusiasm may facilitate higher levels of intrinsic motivation. Teacher enthusiasm may contribute to a classroom atmosphere full of energy and enthusiasm which feed student interest and excitement in learning the subject matter. Enthusiastic teachers may also lead to students becoming more self-determined in their own learning process. The concept of mere exposure indicates that the teacher's enthusiasm may contribute to the student's expectations about intrinsic motivation in the context of learning. Also, enthusiasm may act as a ""motivational embellishment""; increasing a student's interest by the variety, novelty, and surprise of the enthusiastic teacher's presentation of the material. Finally, the concept of emotional contagion, may also apply. Students may become more intrinsically motivated by catching onto the enthusiasm and energy of the teacher.[citation needed]",Enthusiastic teachers may cause students to become more ____ about their learning process?,self-determined; self-determined; self-determined
"Domestically, Barcelona has won 23 La Liga, 27 Copa del Rey, 11 Supercopa de España, 3 Copa Eva Duarte and 2 Copa de la Liga trophies, as well as being the record holder for the latter four competitions. In international club football, Barcelona has won five UEFA Champions League titles, a record four UEFA Cup Winners' Cup, a shared record five UEFA Super Cup, a record three Inter-Cities Fairs Cup and a record three FIFA Club World Cup trophies. Barcelona was ranked first in the IFFHS Club World Ranking for 1997, 2009, 2011, 2012 and 2015 and currently occupies the second position on the UEFA club rankings. The club has a long-standing rivalry with Real Madrid; matches between the two teams are referred to as El Clásico.",How many Copa del Rey trophies has Barcelona won?,27
"When Link enters the Twilight Realm, the void that corrupts parts of Hyrule, he transforms into a wolf.[h] He is eventually able to transform between his Hylian and wolf forms at will. As a wolf, Link loses the ability to use his sword, shield, or any secondary items; he instead attacks by biting, and defends primarily by dodging attacks. However, ""Wolf Link"" gains several key advantages in return—he moves faster than he does as a human (though riding Epona is still faster) and digs holes to create new passages and uncover buried items, and has improved senses, including the ability to follow scent trails.[i] He also carries Midna, a small imp-like creature who gives him hints, uses an energy field to attack enemies, helps him jump long distances, and eventually allows Link to ""warp"" to any of several preset locations throughout the overworld.[j] Using Link's wolf senses, the player can see and listen to the wandering spirits of those affected by the Twilight, as well as hunt for enemy ghosts named Poes.[k]",What form does Link take in the Twilight Realm?,Wolf
"The Dominican Order was affected by a number of elemental influences. Its early members imbued the order with a mysticism and learning. The Europeans of the order embraced ecstatic mysticism on a grand scale and looked to a union with the Creator. The English Dominicans looked for this complete unity as well, but were not so focused on ecstatic experiences. Instead, their goal was to emulate the moral life of Christ more completely. The Dartford nuns were surrounded by all of these legacies, and used them to create something unique. Though they are not called mystics, they are known for their piety toward God and their determination to live lives devoted to, and in emulation of, Him.",What did the Europeans of the Dominican Order bring to the group?,ecstatic mysticism
"Saxophones appear in some scores from the late 19th century onwards. While appearing only as featured solo instruments in some works, for example Maurice Ravel's orchestration of Modest Mussorgsky's Pictures at an Exhibition and Sergei Rachmaninoff's Symphonic Dances, the saxophone is included in other works, such as Ravel's Boléro, Sergei Prokofiev's Romeo and Juliet Suites 1 and 2 and many other works as a member of the orchestral ensemble. The euphonium is featured in a few late Romantic and 20th-century works, usually playing parts marked ""tenor tuba"", including Gustav Holst's The Planets, and Richard Strauss's Ein Heldenleben.",When do saxophones first appear in scores?,the late 19th century
